Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-36.157475	7.6832557	-25.215254	-54.673023	95.0	15	3	12	2	134.78572	0.110331394	0.1472583	0.47923547	-0.30436867	2000	-7.343292e-08	1284.487	-0.025973754	-211.91821	1.3293973	0.015030405	0.178	75.0	7.859162092208862
1	-37.265873	12.167064	-14.419109	-62.056942	95.0	14	8	15	1	131.8	-3.1440732	2.1037443	-1.0293405	-9.785249	4000	-7.6174736e-08	1375.6815	-0.0220498	-462.06122	1.3095001	0.015365282	0.0825	23.0	17.878488302230835
2	-38.86994	9.084808	-23.202595	-54.614857	95.0	14	6	12	3	148.53847	-10.84294	6.4667325	-5.0832977	-31.232176	6000	7.867813e-09	823.6309	-0.016952988	-399.06393	1.2964739	0.012092896	0.1555	79.0	24.01696753501892
3	-34.431835	7.7672634	-14.167335	-46.255936	79.11764705882352	15	4	15	1	120.6875	-16.866383	6.4137273	-6.934089	-42.31711	8000	-3.8027764e-08	365.0831	-0.023638641	-154.15326	1.2934479	0.013911576	0.115	79.0	29.75454354286194
4	-36.478577	12.624944	-10.03277	-54.22078	75.9090909090909	10	4	9	4	181.0	-30.690477	13.68795	-15.09229	-74.96262	10000	-8.392334e-08	240.34471	-0.015905837	-53.76465	1.2019501	0.0074610854	0.088	79.0	35.250492572784424
5	-36.55409	4.7122526	-26.726507	-47.047443	85.0	16	3	17	0	121.1875	-26.112965	9.640596	-13.320127	-68.19636	12000	7.510185e-09	188.50403	-0.019757735	-83.10801	1.2584207	0.010780648	0.1205	79.0	41.22911787033081
6	-31.710936	9.144682	-13.535829	-50.11164	75.0	13	6	13	1	136.0	-30.688457	8.541717	-13.773338	-71.67205	14000	-1.1563301e-08	71.51408	-0.021031639	-11.817562	1.2927011	0.015044151	0.1465	54.0	46.55546045303345
7	-28.27512	9.297535	-7.9144115	-40.940845	75.0	15	2	13	1	125.933334	-27.999788	5.8323565	-14.076805	-50.684357	16000	1.9073487e-09	90.94328	-0.014142582	-10.955261	1.2833655	0.015061967	0.1795	17.0	51.451956033706665
8	-29.651855	8.475646	-15.679868	-43.12415	69.73684210526315	15	3	17	1	109.833336	-24.788101	4.442437	-13.480866	-48.40364	18000	1.4781952e-08	101.39976	-0.021216871	-13.443031	1.2513748	0.011522718	0.1295	79.0	57.320406675338745
9	-22.398851	10.7274	-6.9151893	-42.710484	69.21052631578947	11	0	13	1	110.166664	-27.86584	11.105554	-9.112884	-92.22263	20000	1.3113022e-08	187.64223	-0.013821433	-67.99272	1.2320868	0.007880428	0.072	79.0	63.64136052131653
10	-16.667183	7.253655	-6.5110493	-30.323858	63.94736842105263	10	0	11	0	102.77778	-19.854782	5.0803623	-6.841025	-26.739471	22000	1.001358e-08	79.034035	-0.016732566	-25.132603	1.2409835	0.015066887	0.1495	74.0	69.90467095375061
11	-22.137423	10.570204	-6.2707043	-41.76082	55.45454545454545	20	2	14	0	92.0	-17.913813	3.8261588	-6.460717	-34.57261	24000	1.001358e-08	112.024796	-0.0142885195	-24.829063	1.2021439	0.015782954	0.0945	16.0	76.58171010017395
12	-18.126919	7.3790526	-4.5770082	-31.994104	50.47619047619048	17	0	16	0	96.25	-19.802347	4.9089637	-6.2165856	-43.22264	26000	-1.5735626e-08	78.80991	-0.016011888	-5.904747	1.1995671	0.003819257	0.126	79.0	83.5311450958252
