Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-34.17772	6.3074274	-22.149061	-41.55329	95.0	13	4	12	1	149.6923	0.05646449	0.16942221	0.38240528	-0.35947526	2000	-1.4305115e-09	1103.9209	-0.023190543	-234.39966	1.3249654	0.015118475	0.107	49.0	8.890570163726807
1	-39.15651	12.824398	-21.488575	-62.883873	95.0	11	7	10	3	166.8	-4.6149297	3.0844328	-1.1516842	-12.661538	4000	-6.2942505e-08	1197.5557	-0.016229985	-486.54028	1.3285401	0.009500579	0.129	79.0	13.411904096603394
2	-36.03908	7.079497	-26.416706	-48.59802	89.44444444444444	9	4	6	4	197.88889	-14.90086	11.326107	-4.6555696	-47.9786	6000	-1.835823e-08	496.97183	-0.023629518	-185.01468	1.305031	0.012184397	0.076	79.0	17.217835187911987
3	-34.414646	8.443225	-22.198977	-50.49742	95.0	11	7	7	2	185.6	-22.09473	13.949653	-8.783691	-66.59235	8000	-4.720688e-08	280.58228	-0.0217586	-62.63289	1.3119926	0.0065940046	0.1055	79.0	21.87993812561035
4	-33.222565	8.263026	-20.602673	-47.204437	90.23809523809523	12	3	11	2	151.83333	-20.480032	7.6002855	-8.441294	-43.841366	10000	4.6163798e-08	252.37524	-0.014721884	-79.29564	1.3140383	0.015205526	0.1955	19.0	25.92367386817932
5	-38.077393	11.787017	-24.19743	-64.181786	90.0	13	11	9	2	159.33333	-22.89167	7.728342	-11.27799	-52.50467	12000	-5.9485437e-08	359.94907	-0.027784582	-128.87466	1.2970822	0.013780605	0.2255	79.0	30.845921516418457
6	-33.09948	5.3368897	-19.944601	-41.047424	75.95238095238095	15	4	15	0	125.86667	-28.497253	7.058341	-15.489287	-53.95321	14000	-9.775162e-09	119.26373	-0.019249888	-34.977448	1.2928832	0.015195901	0.2495	29.0	35.26294779777527
7	-26.719837	10.723585	-7.2151465	-42.143135	89.44444444444444	17	4	13	1	115.29412	-26.632679	3.5529501	-14.308816	-39.413914	16000	9.536743e-09	119.84229	-0.014779392	-14.602928	1.2409328	0.013390471	0.1175	79.0	40.27795219421387
8	-29.794165	9.2003145	-10.818281	-42.149914	83.88888888888889	16	5	19	0	104.42105	-22.370592	3.7344093	-12.124332	-30.524765	18000	-1.6093255e-08	131.57306	-0.009849911	-42.085693	1.2238628	0.010908538	0.089	79.0	46.651753425598145
9	-27.579693	10.570456	-8.169296	-42.474823	61.66666666666666	20	4	18	0	94.7	-28.067696	3.2305303	-17.411613	-38.606133	20000	-1.1742115e-08	103.888115	-0.017075703	-14.455254	1.2123578	0.011317169	0.1225	79.0	54.44382882118225
10	-24.030207	9.551462	-8.435833	-43.14449	79.21052631578947	14	3	17	0	99.1579	-26.385649	3.8591123	-13.692887	-36.58451	22000	1.5854836e-08	100.579124	-0.018313037	-10.372864	1.2052011	0.010374351	0.086	79.0	60.844916105270386
11	-20.840014	8.989087	-9.335655	-36.964905	75.95238095238095	15	2	13	0	99.2	-24.05111	4.5752964	-11.056402	-38.92433	24000	1.4662743e-08	102.3663	-0.018952278	-29.004684	1.2173703	0.013594197	0.1335	79.0	67.5042154788971
12	-20.730074	9.780851	-6.7602005	-34.96175	68.33333333333333	12	2	13	1	115.411766	-18.720566	3.840528	-7.0883904	-23.761932	26000	-1.31726265e-08	124.33816	-0.014107931	-6.235924	1.2115284	0.015359892	0.127	29.0	72.9153163433075
13	-15.041599	5.7993035	-4.863135	-29.401693	70.0	7	0	11	0	117.588234	-18.994389	4.4574704	-7.5480433	-24.897028	28000	4.0411948e-08	75.34142	-0.018603316	-33.06025	1.20733	0.00560489	0.118	79.0	78.40922355651855
14	-13.941362	5.2620053	-7.211917	-28.300554	50.55555555555556	10	1	12	0	109.0	-14.381679	3.4405134	-5.0455647	-19.233927	30000	-8.8214875e-09	35.121696	-0.015650574	-3.7315807	1.205106	0.004858383	0.0665	79.0	83.83035826683044
15	-13.859106	6.932071	-7.453617	-33.577892	45.0	4	0	7	2	139.0	-11.996163	3.4044287	-5.3850393	-17.32868	32000	5.841255e-09	39.311592	-0.01689103	-1.6493111	1.2372981	0.0155322105	0.1335	31.0	88.39293813705444
16	-8.633999	3.2868748	-5.113807	-15.454473	50.55555555555556	2	0	3	4	174.36363	-11.521498	3.2884755	-4.5433245	-17.180592	34000	4.6372413e-08	28.064734	-0.019648897	-16.116238	1.2400491	0.0106666135	0.1205	79.0	92.82622218132019
17	-9.468502	4.2350135	-3.8549476	-20.058538	31.363636363636367	5	0	6	2	116.82353	-9.079262	2.5386105	-3.7909813	-13.581023	36000	4.172325e-08	15.247117	-0.021817094	-1.5924082	1.1879002	0.01236381	0.143	79.0	98.16646122932434
18	-9.471831	4.604188	-3.7429454	-17.783298	35.0	4	0	5	1	128.86667	-7.810413	2.4168847	-3.434168	-12.261159	38000	1.180172e-08	24.162485	-0.016449032	-2.4991798	1.1758907	0.012089811	0.178	79.0	102.77038741111755
19	-7.1384993	3.4995677	-3.0202017	-14.319739	28.33333333333333	1	0	2	3	159.6	-7.094719	2.425878	-3.6247382	-12.194224	40000	8.46386e-09	11.67	-0.017242743	-1.7097759	1.2249763	0.012312166	0.1215	79.0	107.38564920425415
20	-8.583004	3.0828197	-4.495861	-18.730867	15.0	6	0	4	2	113.64706	-7.499551	2.0284364	-3.578943	-11.334751	42000	1.5974045e-08	7.254389	-0.022193847	-0.7451687	1.1389127	0.015045126	0.094	74.0	113.97708773612976
21	-7.5326276	3.574271	-3.2763877	-13.142253	10.384615384615385	4	0	4	2	137.85715	-6.503883	2.060011	-3.5520718	-10.874251	44000	-1.0728836e-09	10.835198	-0.017414002	-0.9861908	1.1535466	0.0071984697	0.0835	79.0	118.61038494110107
22	-5.2907586	2.0757067	-2.7577765	-10.1432495	0	0	0	0	3	240.875	-5.6464767	1.569864	-3.7146864	-10.405685	46000	3.1352045e-08	6.082939	-0.021522587	-1.5694275	1.2046015	0.00764867	0.3075	79.0	123.0490231513977
23	-5.8345017	2.5776966	-2.7325823	-11.035047	0	1	0	3	0	102.26316	-5.7030287	1.317023	-3.3400223	-9.109636	48000	3.2901763e-08	6.2659197	-0.0060857027	-0.9260273	1.0883949	0.015770487	0.1055	11.0	129.2475140094757
24	-6.0093617	1.6326034	-3.6858485	-8.441445	0	0	0	0	4	180.1	-4.508987	1.0416299	-3.0245938	-8.025171	50000	-2.384186e-10	3.4036078	-0.009434447	-0.48092055	1.163256	0.015051359	0.1485	11.0	134.96574568748474
25	-4.8340077	1.2288371	-3.1029098	-7.285237	10.384615384615385	0	0	0	2	162.66667	-4.88157	1.0972741	-3.3823514	-8.342667	52000	-4.2915346e-08	2.3999543	-0.015655922	-1.0781218	1.1458205	0.0076046227	0.1055	79.0	140.51729941368103
26	-5.1118956	1.1674602	-3.0405276	-7.879063	0	0	0	0	0	119.4375	-4.327311	0.8698534	-2.9083529	-7.3143716	54000	5.00679e-09	1.5131191	-0.012876626	-0.1360991	1.1119331	0.011315794	0.1215	79.0	145.96224784851074
27	-4.5866504	1.3540905	-3.0017948	-7.3774304	0	0	0	0	0	134.92857	-4.0755696	0.8230012	-2.9624457	-7.075472	56000	-7.1525574e-10	1.7883089	-0.016857969	-0.17079067	1.1259576	0.009835953	0.1555	79.0	151.35581231117249
28	-5.230388	1.2835734	-2.704553	-7.1646194	0	0	0	0	0	126.6	-3.9324617	0.76552504	-2.8558695	-6.730249	58000	2.6226044e-09	1.8555937	-0.014872725	-0.2824204	1.1176947	0.00992253	0.131	79.0	158.0933074951172
29	-4.548195	0.9377196	-3.2449636	-6.6944594	0	0	0	0	0	154.75	-4.074189	0.7445753	-3.175256	-6.836956	60000	-1.525879e-08	1.195908	-0.013949572	-0.18970239	1.1382812	0.0065426906	0.184	79.0	163.16313648223877
30	-5.123582	1.7351526	-3.3703854	-8.568052	9.285714285714285	0	0	2	1	147.46153	-3.992246	0.6821877	-2.990235	-6.4760337	62000	1.001358e-08	2.8358421	-0.007682434	-0.24538875	1.1185813	0.01760568	0.157	9.0	171.2952425479889
