Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-37.25435	10.238912	-24.149925	-58.879917	95.0	14	7	13	1	149.07692	0.11792813	0.18263757	0.6166967	-0.28891814	2000	-3.004074e-08	1446.7106	-0.019485047	-222.58374	1.3228463	0.015240215	0.127	25.0	8.795152187347412
1	-36.274822	9.648613	-21.257677	-60.85022	80.0	12	7	11	5	177.45454	-3.9459512	2.2876716	-1.276476	-11.060083	4000	4.506111e-08	1085.3909	-0.02425643	-399.60046	1.3053343	0.014760703	0.2035	79.0	13.754126071929932
2	-36.796642	8.608064	-21.534262	-50.505978	95.0	14	9	11	1	140.57143	-9.394873	5.6485553	-4.2688537	-32.840946	6000	-5.2452087e-09	778.4833	-0.017128708	-337.5644	1.2802374	0.015038978	0.1415	61.0	19.178300380706787
3	-38.064243	7.586778	-26.41962	-54.10136	86.66666666666666	11	6	11	4	179.90909	-16.83078	7.940063	-7.412761	-53.96275	8000	-2.026558e-09	524.87604	-0.019092448	-295.64893	1.2570719	0.0077092736	0.144	79.0	23.76280951499939
4	-31.546745	4.605759	-24.971285	-43.081703	95.0	14	10	13	1	144.46153	-26.251213	9.35524	-15.859391	-59.345688	10000	3.516674e-08	139.538	-0.018667027	-49.213158	1.2607168	0.015020784	0.18	53.0	29.04490089416504
5	-32.413223	9.957149	-10.537539	-51.805004	88.75	13	4	14	3	129.93333	-27.011879	7.6122656	-11.636972	-51.2699	12000	-1.0490417e-08	146.1104	-0.015005642	-27.809265	1.2626988	0.006716716	0.1005	79.0	34.140318870544434
6	-32.275375	4.422399	-24.789186	-38.59484	95.0	15	9	15	0	119.625	-28.591852	6.382026	-17.802542	-50.545677	14000	-1.2457371e-08	60.425526	-0.018849429	-16.173069	1.2602986	0.005332393	0.112	79.0	38.87833833694458
7	-33.29408	9.528598	-13.398734	-51.670677	95.0	16	6	14	1	122.333336	-29.534895	5.444942	-18.554537	-48.891644	16000	2.6941299e-08	105.70737	-0.019953309	-22.210602	1.2445265	0.010007329	0.137	79.0	44.02551579475403
8	-29.717419	12.507174	-7.017079	-49.696453	83.23529411764706	13	2	15	1	120.5625	-28.169317	6.0877876	-14.194559	-46.82141	18000	-7.510185e-09	168.94406	-0.018728375	-14.935806	1.231994	0.015103151	0.115	73.0	49.83485507965088
9	-30.222458	9.931723	-9.30567	-44.341682	83.88888888888889	12	5	16	0	113.82353	-28.789637	6.1380606	-9.373458	-45.097168	20000	8.523465e-09	77.986465	-0.0140801435	-3.1909485	1.2637573	0.015077164	0.1195	35.0	56.501861333847046
10	-24.540646	7.9905753	-12.817745	-36.49855	79.11764705882352	14	2	13	0	124.5	-27.027283	4.9193926	-9.990797	-38.583218	22000	2.348423e-08	83.17541	-0.016138792	-19.932869	1.2530142	0.009644895	0.0855	79.0	61.87436771392822
11	-25.548954	9.850295	-11.055302	-38.306305	80.0	18	3	14	0	102.63158	-24.351711	3.5773888	-13.689001	-34.01849	24000	-7.7486035e-09	89.5405	-0.016800309	-10.377403	1.2216352	0.010574059	0.1025	79.0	68.44899010658264
12	-21.128342	7.065972	-9.07705	-34.409637	83.88888888888889	12	1	13	1	115.47059	-23.123327	5.495777	-8.430751	-36.849297	26000	5.3048135e-09	68.40246	-0.0061135474	-12.040756	1.2222631	0.01501265	0.1115	19.0	73.57079243659973
13	-15.727802	6.8734035	-6.7386355	-31.287533	79.73684210526315	15	0	11	0	109.333336	-19.857939	4.713131	-8.289439	-28.724432	28000	5.841255e-09	84.55339	-0.014319413	-27.375866	1.2086895	0.0067398655	0.081	79.0	79.26987314224243
14	-17.90337	6.1999917	-8.819194	-29.449812	70.45454545454545	19	0	14	0	94.52381	-16.480944	2.9887567	-7.6476674	-22.873217	30000	1.2993812e-08	34.62911	-0.016211588	-3.4895935	1.1828753	0.007311054	0.092	79.0	85.73557376861572
15	-16.873352	5.218938	-7.554636	-27.07972	75.0	13	0	12	0	102.68421	-16.569942	3.0776846	-7.1085844	-21.833523	32000	5.4240226e-09	34.78631	-0.017781116	-1.2292862	1.205918	0.014547936	0.174	79.0	91.11807250976562
