Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-35.535336	8.098432	-24.516745	-56.214745	95.0	12	6	11	1	153.25	0.13338447	0.1477838	0.48026437	-0.3084033	2000	3.349781e-08	1184.3441	-0.016104737	-189.35352	1.3331633	0.008441202	0.089	79.0	6.6867125034332275
1	-32.795948	6.674217	-16.26166	-42.807278	95.0	13	4	13	1	150.07692	-2.6597617	1.8732295	-0.92614007	-10.694626	4000	2.8967857e-08	888.4124	-0.023788275	-277.70685	1.316721	0.0151013695	0.2105	78.0	15.969937801361084
2	-33.048794	6.8707066	-21.883207	-47.256966	85.0	14	9	12	1	137.92857	-7.5450177	3.0598965	-4.3632345	-24.959118	6000	6.520748e-08	643.8243	-0.019196168	-325.2786	1.2868786	0.015173982	0.202	46.0	22.4987895488739
3	-32.284237	5.393432	-22.647972	-39.957485	75.0	16	5	14	1	127.066666	-15.35078	5.0083857	-9.571165	-35.649292	8000	6.234646e-08	290.07376	-0.018551046	-170.46942	1.2941043	0.007794183	0.1235	79.0	28.91995358467102
4	-31.027033	8.655011	-12.292304	-43.854706	79.44444444444444	15	5	13	1	130.73334	-25.548223	8.057036	-12.787217	-52.164223	10000	-1.2993812e-08	151.85573	-0.016880376	-38.827858	1.2726886	0.0142342765	0.1085	79.0	35.6305730342865
5	-32.775543	6.424872	-24.107925	-47.260033	75.0	17	10	14	0	114.117645	-28.829168	8.6273575	-18.232424	-63.27156	12000	1.7881393e-09	112.15985	-0.018224586	-45.467865	1.2659918	0.011251906	0.131	79.0	41.755616664886475
6	-32.0293	10.184797	-15.536877	-54.53133	60.0	15	9	12	1	139.0	-29.841244	6.01802	-19.573822	-52.28735	14000	-9.536743e-09	98.412445	-0.019907359	-19.687492	1.2715839	0.008904377	0.1005	79.0	47.02524256706238
7	-29.057259	5.840927	-16.304485	-39.520126	59.44444444444444	17	13	10	1	116.23529	-30.5756	4.342423	-19.114683	-41.569683	16000	4.7683715e-09	39.32189	-0.008999502	-11.319637	1.2663654	0.01636539	0.1425	12.0	52.3620285987854
8	-32.218197	7.2924695	-19.668194	-40.505665	55.0	15	4	14	0	126.53333	-25.126446	3.7474148	-13.95935	-37.082096	18000	-2.384186e-10	106.61395	-0.0077246763	-44.39378	1.2688175	0.015116178	0.1565	16.0	57.54194378852844
9	-32.723793	9.53733	-8.387788	-42.16326	60.0	18	3	19	0	102.63158	-28.904383	3.7107525	-15.356186	-37.72994	20000	-1.0848045e-08	105.35897	-0.014950452	-11.524742	1.2706774	0.015044092	0.227	56.0	63.70186138153076
10	-29.739458	9.509225	-8.3757925	-42.053715	45.0	17	4	18	0	107.333336	-31.16299	3.501364	-17.882116	-36.803112	22000	2.1457673e-08	107.98728	-0.02188199	-24.021706	1.2110716	0.015053434	0.167	53.0	69.64555191993713
11	-21.439182	9.847645	-9.700998	-40.758953	45.0	15	2	11	0	117.588234	-27.697367	4.4762506	-10.451555	-36.926144	24000	5.2452087e-08	150.49147	-0.016452063	-61.093582	1.2103642	0.0104845045	0.056	79.0	75.66678881645203
12	-28.668516	9.813842	-13.100498	-41.70312	45.0	12	1	14	1	133.0	-19.06545	3.8182209	-10.696051	-24.90019	26000	1.4305114e-08	200.50267	-0.0187961	-80.40294	1.1921157	0.012385027	0.204	79.0	81.73437738418579
13	-25.066494	7.512792	-12.39683	-41.158134	35.0	15	0	17	1	123.375	-27.696812	4.9179935	-13.446996	-35.508823	28000	-2.8014182e-09	81.75878	-0.018206025	-23.730938	1.1593918	0.0100375945	0.106	79.0	87.22040295600891
14	-23.675253	9.808542	-9.330351	-39.51344	20.0	16	1	16	0	105.052635	-24.690094	4.772071	-12.365954	-35.65548	30000	-2.0384789e-08	99.23786	-0.01858338	-9.603729	1.185698	0.010361831	0.158	79.0	93.77738928794861
