Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
25	6.504904	1.9516091	11.052419	3.419577	59.375	63.870968	6.6574335	0.9849014	8.465823	2.7629087	52000	-7.629395e-09	3.798051	-0.0073991073	-0.6807196	0.8567737	0.016367542	0.2235	6.0	107.82707929611206
26	7.404993	1.6688144	10.8531065	5.015015	40.0	68.44827	6.610709	1.1368251	8.556544	2.8706558	54000	4.482269e-08	2.8921285	-0.01887916	-1.2921815	0.91433084	0.005501105	0.1215	79.0	111.96552300453186
27	8.350925	1.0893716	10.039801	6.028308	17.24137931034483	70.03571	7.7969875	1.0043316	10.336654	3.6973484	56000	-3.2901763e-08	2.125689	-0.012705078	-1.1749883	0.89903605	0.0055362377	0.0745	79.0	115.70426440238953
28	8.32371	1.4605638	10.755145	5.052577	16.129032258064516	65.26667	8.83211	1.13719	10.548739	4.728843	58000	6.437302e-09	1.2960685	-0.012660888	-0.18360901	0.85604167	0.0032647417	0.083	79.0	119.62303137779236
29	8.52244	1.3770303	10.874083	5.9743223	17.24137931034483	70.42857	8.414111	0.9304086	10.0000305	4.8243337	60000	9.536744e-10	1.5983622	-0.0100598	-0.4150939	0.8700471	0.015525783	0.111	13.0	123.32133197784424
30	8.696318	1.0294449	10.487514	5.8702226	16.666666666666664	68.31035	8.890548	0.9427211	10.578389	5.627938	62000	-5.00679e-09	0.8317081	-0.0151316235	-0.11591494	0.84383947	0.009960444	0.1005	79.0	127.35324883460999
31	9.772357	1.0264772	11.6435585	7.7904725	10.344827586206897	71.10714	9.373503	0.6757468	10.333811	5.5705175	64000	3.8743018e-08	1.5832417	-0.0046292865	-0.71065813	0.830762	0.015141096	0.198	5.0	130.96141147613525
32	9.664254	1.3223667	12.373257	6.6102433	7.142857142857142	72.14815	9.980509	0.65198994	11.263061	5.782133	66000	4.172325e-09	1.696053	-0.014659561	-0.6826799	0.84624255	0.006000937	0.099	79.0	134.6481168270111
33	9.801319	1.3850912	12.640138	6.4429955	0.0	75.03846	10.146531	1.0889428	12.214351	6.778748	68000	-7.629395e-09	0.96492255	-0.015921384	-0.13227123	0.8404705	0.0062453616	0.1055	79.0	138.27830982208252
34	10.295156	1.0445855	12.067067	8.155699	0.0	75.88461	10.333368	0.9184236	11.852535	7.0944552	70000	3.8146974e-09	0.86830944	-0.0075331763	-0.20414227	0.86519086	0.020218136	0.217	5.0	141.73337578773499
35	10.563476	1.0104824	12.035729	8.5971775	0.0	82.75	10.839955	0.7557485	12.359081	7.86419	72000	-3.0994416e-09	0.9985225	-0.016561458	-0.16855663	0.9077046	0.0039630593	0.097	79.0	145.11025166511536
36	11.225549	0.6302939	12.591679	9.8818245	0.0	85.478264	11.014662	0.6801846	12.361798	8.1531725	74000	-1.9073487e-09	0.86782324	-0.016323078	-0.53028315	0.90372556	0.0073352037	0.1195	79.0	148.42964148521423
37	11.402712	0.65870744	12.427731	10.21155	0.0	93.333336	11.608721	0.638385	12.863276	7.7269835	76000	1.001358e-08	0.5389885	-0.013421166	-0.17645049	0.93535405	0.004381194	0.101	79.0	151.56247758865356
38	11.89852	0.54863036	13.005473	10.654553	0.0	101.57895	11.818516	0.7057762	13.144778	7.983087	78000	2.0861625e-08	1.0025512	-0.013861244	-0.7161727	0.9149109	0.015362071	0.224	30.0	154.3671064376831
39	11.332718	0.5623353	12.425165	10.645231	0.0	101.10526	12.315545	0.5106021	13.289598	10.768936	80000	7.1525574e-10	0.5541646	-0.018764539	-0.2888341	0.9838376	0.015069659	0.1385	64.0	157.25567722320557
40	11.695579	0.74500114	12.812839	10.377051	0.0	108.111115	12.073279	0.4037768	13.149831	10.477599	82000	2.026558e-09	0.67934006	-0.020672332	-0.1607672	0.9545516	0.014650511	0.136	79.0	160.0459542274475
41	12.015828	0.63592964	12.9232235	10.81437	0.0	115.117645	12.220936	0.61927396	13.910465	10.39647	84000	5.00679e-09	0.57479393	-0.019411087	-0.19429421	0.9779898	0.014434025	0.1495	79.0	162.75935244560242
42	11.857711	0.66760296	13.023297	10.925829	0.0	134.78572	12.757274	0.59036607	14.109546	11.211324	86000	1.525879e-08	0.58630484	-0.01710032	-0.16155985	1.0025953	0.009139065	0.122	79.0	165.34657502174377
43	12.071108	0.72782975	13.370077	10.891289	6.666666666666667	141.85715	12.4928055	0.44928312	13.364456	10.887039	88000	4.053116e-09	0.57972866	-0.0054498343	-0.15267512	1.0149751	0.015682204	0.1115	6.0	167.6841742992401
44	11.761003	0.6508755	12.828153	10.391472	7.142857142857142	149.3077	12.28925	0.4535755	13.529118	10.036144	90000	-1.1920929e-09	0.47745952	-0.010683472	-0.114611596	1.0173912	0.02171299	0.2955	5.0	169.88129830360413
45	12.060859	0.45996842	13.027577	11.313781	0.0	107.77778	12.487856	0.5636081	13.895214	11.372579	92000	6.6757204e-09	0.23479821	-0.017076423	-0.049128637	0.932247	0.0113929715	0.124	79.0	172.72016429901123
46	12.198918	0.5289566	13.08605	11.155782	0.0	103.26316	12.421932	0.43241766	13.667823	11.185158	94000	-2.4318695e-08	0.3645409	-0.015543681	-0.08956212	0.895005	0.0093530165	0.0985	79.0	175.678293466568
47	12.413013	0.47690338	13.138321	11.571409	0.0	112.05882	12.798207	0.44216812	13.846547	11.361152	96000	-3.3378602e-09	0.2620014	-0.0104491655	-0.05966741	0.9129083	0.0081961965	0.0935	79.0	178.41490173339844
48	12.45647	0.5320097	13.365252	11.07185	0.0	107.166664	12.81021	0.422896	13.755311	11.252664	98000	1.5735626e-08	0.3053574	-0.0052403007	-0.03801149	0.886237	0.018245643	0.1645	4.0	181.09701299667358
49	12.369593	0.61603373	13.322938	10.834533	0.0	105.0	12.92178	0.45071298	13.908552	11.290772	100000	-7.629395e-09	0.2935887	-0.0061335424	-0.051824898	0.86002606	0.015582336	0.1565	8.0	183.80637884140015
