Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-11.539404	4.8563757	-4.858014	-20.89922	100.0	79.44	-15.893696	1.1222969	-11.750674	-20.254995	54000	-4.529953e-09	46.84525	-0.010847549	-24.9572	1.2013906	0.015083775	0.151	15.0	1287.2979171276093
27	-11.898018	6.923313	-3.6494923	-29.370197	100.0	77.96	-10.99514	1.5325826	-5.243231	-15.380544	56000	-3.5762786e-09	53.885956	-0.01994312	-7.4109497	1.173804	0.009751593	0.1165	79.0	1325.5026998519897
28	-9.641917	5.597889	-2.7860546	-27.826687	100.0	80.041664	-11.646227	1.2945285	-6.4687057	-15.328306	58000	-1.7523766e-08	39.117508	-0.019517457	-5.8580475	1.1584597	0.015060261	0.16	50.0	1363.4957392215729
29	-11.113242	6.442995	-1.2607721	-28.849989	100.0	76.0	-9.326739	0.9926856	-6.6493073	-12.788912	60000	-4.2915342e-09	45.76789	-0.008728755	-5.57246	1.1033385	0.015455209	0.2625	8.0	1401.3206820487976
30	-8.564029	3.5156446	-2.9590406	-16.150387	100.0	80.75	-10.691423	1.1473777	-6.748596	-14.739343	62000	3.576279e-08	19.579166	-0.018965451	-8.253671	1.1328706	0.014045402	0.16	79.0	1439.308179616928
31	-8.585177	3.2919898	-3.0688243	-14.332629	100.0	77.28	-8.017503	0.93032944	-4.1014223	-13.409311	64000	-1.3113022e-08	9.970267	-0.013191331	-0.45283508	1.066494	0.015234335	0.1085	38.0	1476.9531066417694
32	-6.761459	2.9423523	-2.1839175	-12.703945	100.0	77.8	-7.837514	0.8106028	-5.502197	-14.562626	66000	6.6757204e-09	10.689051	-0.015536556	-3.1529956	1.037513	0.011610117	0.1025	79.0	1515.632197380066
33	-8.948989	3.7817156	-1.535436	-21.340557	100.0	72.14815	-6.308376	0.8776855	-3.6010306	-9.566217	68000	3.1113625e-08	17.731464	-0.01193104	-4.670556	1.0118692	0.01551236	0.082	33.0	1553.2172865867615
34	-8.849522	4.2526174	-2.6495016	-18.726782	100.0	71.14815	-8.43041	0.91751987	-5.114237	-11.086464	70000	-1.3351441e-08	20.756266	-0.014705799	-3.7886658	1.0188072	0.008874522	0.1165	79.0	1592.0491280555725
35	-7.3816433	2.9641292	-2.5004666	-13.779792	100.0	72.333336	-8.42092	0.79085994	-6.515068	-11.514277	72000	-6.222725e-08	11.368461	-0.008177853	-2.3602762	1.0042646	0.015572821	0.1695	13.0	1631.1264238357544
