Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-35.795986	11.654048	-22.968304	-61.88488	100.0	12	6	11	3	160.41667	0.12846674	0.15249583	0.66875434	-0.20034878	2000	-3.182888e-08	1455.7023	-0.015251038	-244.00891	1.3236976	0.007838935	0.0655	79.0	2.4158079624176025
1	-40.564846	8.671818	-22.189089	-55.06388	100.0	13	6	13	3	153.53847	-3.0587797	2.0347276	-0.98392826	-11.569877	4000	1.1563301e-08	1455.3282	-0.02202326	-449.94	1.3273602	0.010852534	0.1215	79.0	5.381019353866577
2	-36.271706	8.709689	-20.064426	-51.471024	100.0	14	9	11	2	144.76923	-9.582445	5.307773	-4.7305274	-30.345705	6000	-1.0550022e-08	709.8582	-0.022279833	-300.17892	1.3242778	0.015014558	0.1195	63.0	7.745584964752197
3	-39.105583	12.775679	-22.630672	-67.48039	100.0	10	5	10	4	184.4	-20.382992	9.946599	-9.59421	-53.52593	8000	1.0502338e-07	573.6924	-0.023520783	-336.71924	1.3248779	0.009075529	0.124	79.0	10.075324058532715
4	-32.342777	8.885652	-16.616488	-51.5883	100.0	12	8	10	4	163.16667	-29.390963	13.745741	-14.469683	-72.45929	10000	-1.4185906e-08	225.18335	-0.023726437	-59.369995	1.3098956	0.011419707	0.248	79.0	12.398008346557617
5	-31.603518	8.03051	-16.708088	-43.788387	94.11764705882352	15	7	16	0	121.0625	-19.872574	3.8083193	-10.918701	-36.76489	12000	-3.9935113e-08	185.78871	-0.01949383	-87.557495	1.291093	0.0051092817	0.1495	79.0	15.252890586853027
6	-31.207258	9.80665	-13.335796	-43.998386	100.0	16	4	16	0	114.82353	-25.417324	4.52777	-9.491127	-39.08105	14000	7.390976e-09	125.617256	-0.016260412	-31.742317	1.2471865	0.015428316	0.166	30.0	18.830568313598633
7	-26.838448	11.032025	-8.687584	-44.664566	91.66666666666666	18	4	20	0	86.521736	-27.979324	4.125153	-13.422711	-43.654366	16000	-1.4305115e-09	122.91901	-0.01793916	-8.614365	1.1851904	0.00526013	0.074	79.0	23.686709880828857
8	-23.423464	11.986573	-8.741319	-43.07689	95.83333333333334	19	1	17	0	85.73913	-26.426653	3.119107	-12.9844675	-40.401978	18000	1.4305114e-08	144.81226	-0.015191489	-18.824196	1.1772313	0.009615995	0.1085	79.0	28.548118829727173
9	-24.574968	10.10772	-7.8373857	-42.17629	92.3076923076923	19	4	22	0	79.0	-22.146568	2.9385073	-9.530213	-27.829306	20000	-7.987023e-09	98.98491	-0.019762458	-8.580177	1.1395504	0.011370186	0.0965	79.0	33.570866107940674
