Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
23	-10.569023	3.2599776	-5.993235	-19.029129	9.54545454545454	5	0	10	0	92.47619	-10.220161	1.9476076	-5.4884152	-15.1028595	48000	9.417534e-09	15.818829	-0.022365335	-1.0346861	1.1617446	0.009034649	0.13	79.0	127.01596808433533
24	-7.2133555	2.6735337	-4.2780237	-16.119629	5.0	2	0	1	1	104.89474	-9.921256	1.8571647	-5.565111	-14.588418	50000	4.005432e-08	21.428799	-0.0176502	-12.921601	1.1528085	0.004764296	0.0995	79.0	135.38662695884705
25	-6.520569	2.521522	-3.2629247	-11.443122	0.789473684210526	0	0	2	1	108.0	-6.1162157	1.1584947	-3.8337963	-10.866349	52000	1.3232231e-08	8.013622	-0.020511795	-0.6260843	1.163968	0.0078472085	0.101	79.0	141.51470613479614
26	-5.3700323	1.6058321	-2.4320426	-8.579336	0	0	0	0	0	98.4	-5.8225713	0.89273745	-3.827606	-8.238869	54000	-2.2292138e-08	3.447501	-0.02075094	-1.1480911	1.1195719	0.012669944	0.116	79.0	147.94006943702698
27	-5.1389823	2.058465	-2.456206	-9.8372755	0.5555555555555554	0	0	1	0	113.52941	-4.8303847	0.812171	-3.3888612	-7.3657784	56000	1.692772e-08	3.5771704	-0.015918402	-0.24026012	1.117564	0.010288655	0.136	79.0	155.90503978729248
28	-4.51318	1.3093983	-3.1824465	-7.732914	0.8823529411764701	0	0	0	1	120.875	-4.592158	0.79437155	-3.2608662	-7.7887654	58000	1.013279e-08	2.7067695	-0.015938204	-0.64253664	1.1026324	0.011751223	0.1105	79.0	161.61114835739136
29	-5.074144	1.9369982	-2.899316	-10.100859	0	0	0	1	0	101.89474	-3.7857373	0.5688345	-2.8390608	-5.767771	60000	-9.298325e-09	4.1430254	-0.014004118	-1.1282856	1.08118	0.010078312	0.0805	79.0	171.59783411026
30	-4.9484563	1.5341935	-2.5021644	-8.333908	0	0	0	0	0	108.666664	-4.259129	0.6037111	-3.2047145	-6.289595	62000	-1.34706495e-08	2.1293302	-0.015205944	-0.1146245	1.0803673	0.0071556643	0.095	79.0	178.93508625030518
31	-4.5381856	1.3751779	-3.058233	-9.113281	6.111111111111111	0	0	2	0	117.0	-4.2452316	0.6126331	-3.251973	-6.1703415	64000	-2.2768974e-08	1.5985417	-0.0072196275	-0.19365859	1.0772235	0.015576489	0.222	7.0	185.91941142082214
32	-4.635134	1.389785	-2.841039	-8.58142	0	0	0	0	0	130.33333	-3.788808	0.4873649	-3.031725	-5.6287117	66000	2.1457671e-09	1.5823504	-0.013429639	-0.0508641	1.1109487	0.008363307	0.0645	79.0	191.3691909313202
