Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
23	-6.1726823	2.4420629	-1.8703935	-12.150551	0.384615384615385	3	0	1	0	78.52	-6.576273	1.6657774	-3.279106	-11.115501	48000	-1.3113022e-08	6.865165	-0.016189896	-1.1715512	0.9902127	0.012466059	0.127	79.0	152.68702173233032
24	-7.2125998	2.1930578	-4.688531	-13.285133	15.0	4	0	1	2	93.57895	-5.9990916	1.7016175	-3.0588171	-13.034712	50000	1.37090685e-08	14.246787	-0.016666356	-2.5831842	1.0290447	0.015040899	0.1125	78.0	158.873877286911
25	-6.249152	2.215214	-3.0643764	-11.798224	4.0476190476190474	0	0	3	1	97.7	-6.7511806	1.3686377	-3.6846833	-11.127217	52000	-3.409386e-08	5.7753935	-0.01677045	-1.1795087	1.0221016	0.010365117	0.13	79.0	164.97327971458435
26	-5.762434	2.0440493	-2.9632137	-9.96407	2.391304347826086	2	0	2	0	89.818184	-6.164263	1.4098434	-3.4288454	-10.359535	54000	-5.841255e-09	4.76022	-0.006002483	-1.0294073	0.99694854	0.01672271	0.1875	6.0	171.60555362701416
27	-5.762803	2.3551924	-2.968234	-11.442646	5.0	2	0	2	0	97.52631	-5.006741	1.3313951	-3.0530581	-9.365488	56000	4.2915342e-09	5.8342195	-0.017593091	-0.25114346	1.0329313	0.011342691	0.113	79.0	177.583984375
28	-6.056507	2.1852782	-2.5520096	-10.785689	0	0	0	3	0	102.210526	-5.1490088	1.2320502	-3.2122438	-9.270119	58000	4.172325e-09	4.56517	-0.014542697	-0.3813553	1.0190021	0.008661159	0.114	79.0	183.7613124847412
29	-4.5780187	1.3651336	-2.1561658	-6.7359185	0	0	0	0	0	94.789474	-5.4872007	1.1836195	-3.5150502	-9.427186	60000	2.002716e-08	4.406369	-0.015472835	-1.9105725	1.0233165	0.011171359	0.0825	79.0	190.12463355064392
30	-4.9179525	2.0422564	-2.177319	-10.422612	0	1	0	1	0	92.42857	-4.4463086	1.1754148	-2.88128	-9.635079	62000	-3.5762786e-09	3.1649897	-0.015998391	-0.16756272	0.9818173	0.014462244	0.1005	79.0	196.6624789237976
31	-4.62593	1.9051584	-2.2978716	-10.090365	0	0	0	0	0	97.35	-4.3081846	1.0358089	-2.910668	-9.301061	64000	-2.6226044e-09	2.5681434	-0.012486742	-0.1967752	0.98775214	0.011547429	0.0705	79.0	202.67893075942993
32	-5.0700507	1.2473245	-3.209415	-6.8436294	0	1	0	1	0	93.190475	-4.1400685	0.95289344	-2.7807906	-7.6238437	66000	1.168251e-08	1.9617896	-0.004701352	-0.25456333	0.96912307	0.015470229	0.1685	6.0	209.14377641677856
