Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
23	-11.284779	7.3830137	-4.5706954	-30.152237	50.0	3	0	8	2	116.0	-11.9128895	2.339039	-4.830975	-19.630781	48000	-5.6028364e-09	63.480534	-0.016353453	-6.144829	1.1408153	0.008002264	0.09	79.0	115.1841881275177
24	-6.8732805	1.863943	-3.2996542	-10.852659	28.57142857142857	1	0	1	2	144.6923	-10.022677	2.7353232	-4.565532	-15.53422	50000	-2.3126603e-08	26.361427	-0.021322707	-14.508295	1.1862601	0.009037696	0.1245	79.0	118.70141506195068
25	-14.651162	7.6339707	-4.5013456	-29.071583	70.0	3	0	6	4	211.88889	-7.196955	2.2182033	-3.4765372	-12.407522	52000	-3.71933e-08	88.46926	-0.01702652	-15.009338	1.2351792	0.009002397	0.124	79.0	121.70630979537964
26	-9.815492	6.00087	-5.176563	-27.015383	50.0	1	0	6	2	152.61539	-10.219022	3.4109535	-3.7927597	-21.157116	54000	7.2717667e-09	59.358406	-0.015185212	-3.151596	1.1625687	0.008134767	0.14	79.0	125.22709798812866
27	-7.30307	3.344915	-3.3223271	-15.133226	35.294117647058826	2	0	4	1	123.0	-9.157443	2.4822912	-4.4746723	-13.52776	56000	-5.4121017e-08	21.230082	-0.018593248	-7.104351	1.1696692	0.0136742415	0.1265	79.0	129.1605110168457
28	-8.082372	3.6625693	-4.680339	-16.390293	23.52941176470588	0	0	4	1	121.125	-7.2618475	2.292354	-3.2884665	-11.68457	58000	-2.1457671e-09	20.70323	-0.019979723	-0.44779015	1.1320485	0.008164415	0.1385	79.0	133.4913911819458
29	-12.733627	12.417511	-2.5500522	-45.894356	41.66666666666667	3	1	4	3	161.81818	-9.131404	6.223312	-3.4112885	-35.308746	60000	-1.0371208e-08	220.27101	-0.017902292	-61.209106	1.0591158	0.015103767	0.117	70.0	137.66950869560242
30	-9.620657	9.539724	-2.5599644	-30.875435	41.66666666666667	2	1	3	3	181.36363	-10.005373	3.5610912	-5.0592003	-24.796366	62000	2.2143125e-08	100.97639	-0.028753895	-5.9018784	1.1394335	0.0138695855	0.142	79.0	141.50076699256897
31	-5.7562428	1.7910622	-3.3103614	-9.199267	11.76470588235294	0	0	2	0	124.5625	-9.44656	2.851289	-4.8131638	-15.362362	64000	3.7550926e-08	27.702225	-0.01711948	-19.256826	1.0742284	0.00635823	0.1695	79.0	145.86312794685364
32	-6.4779806	3.5937707	-2.5142453	-17.039703	25.0	1	0	4	0	127.73333	-6.935249	2.1261535	-3.6895692	-12.996283	66000	-2.1457673e-08	16.513039	-0.01997074	-1.4652576	1.061859	0.0057678744	0.0855	79.0	150.12651109695435
33	-6.5892367	2.5765753	-3.7556636	-13.362934	14.285714285714285	0	0	2	0	147.46153	-5.9606004	1.9758797	-3.3857536	-11.2086735	68000	2.1457671e-09	9.438235	-0.017851185	-0.546319	1.0868769	0.0083244825	0.1235	79.0	154.0211043357849
34	-5.3215213	1.4496133	-3.0930576	-8.318047	7.6923076923076925	0	0	0	1	151.41667	-5.5849104	1.6003151	-3.1529279	-10.924583	70000	-3.4332274e-08	5.4643407	-0.015456986	-1.1274204	1.0596437	0.012039248	0.1215	79.0	157.0081024169922
35	-4.952785	1.499771	-3.3802664	-7.8551474	0.0	0	0	0	0	145.23077	-4.8228264	1.3700727	-3.1082456	-9.787744	72000	1.8715859e-08	3.399126	-0.009671182	-0.6656773	1.0258396	0.008301757	0.0515	79.0	160.08907890319824
36	-4.914734	1.526271	-2.6736033	-8.127068	0.0	0	0	0	0	147.53847	-4.4016905	1.1480371	-2.80031	-9.131075	74000	-2.0742416e-08	2.6228604	-0.010254112	-0.17405224	1.0381382	0.010461164	0.072	79.0	163.0065939426422
37	-4.7010326	1.4934001	-3.0507991	-6.946215	0.0	0	0	0	0	156.25	-4.19983	1.1931796	-2.7102652	-8.92964	76000	1.0609627e-08	3.110356	-0.009715465	-0.19947171	1.0670772	0.0066752946	0.0745	79.0	165.87664794921875
38	-4.160709	0.63148093	-2.8838482	-5.438927	0.0	0	0	0	0	160.91667	-3.9680336	1.1254232	-2.6755705	-8.6012535	78000	-2.5272369e-08	1.4546018	-0.009105953	-0.36264408	1.0622822	0.004325694	0.0525	79.0	168.65072536468506
39	-4.7587323	1.5324209	-2.6105874	-7.975715	0.0	0	0	0	0	143.07692	-3.6571836	1.0031455	-2.4267826	-8.0188055	80000	1.2993812e-08	2.229556	-0.00960492	-0.19410324	1.0425271	0.0066758753	0.048	79.0	171.5270962715149
40	-4.3899226	1.2094573	-2.9300401	-6.658296	0.0	0	0	0	0	135.42857	-3.8494263	0.9753747	-2.6316345	-7.95107	82000	1.3589859e-08	1.8787528	-0.011749573	-0.084432125	1.04287	0.010075655	0.0985	79.0	174.53174781799316
41	-3.985631	0.90646136	-2.8880801	-6.674901	0.0	0	0	0	0	158.16667	-3.5598836	0.88733196	-2.598448	-7.811226	84000	5.4836273e-09	1.3731081	-0.00815022	-0.15000618	1.0678693	0.008966326	0.0695	79.0	177.26844716072083
42	-4.612336	1.1912867	-2.513956	-7.2070465	7.142857142857142	0	0	1	0	146.38461	-3.5197954	0.8094127	-2.3916924	-7.4831047	86000	-2.1457671e-09	1.5803448	-0.0031754659	-0.15596688	1.0400807	0.016111303	0.1855	9.0	179.95208072662354
43	-4.8045163	1.0375428	-3.3236141	-7.245814	0.0	0	0	0	0	159.25	-3.7408862	0.8298226	-2.6424787	-7.5723605	88000	1.7285346e-08	1.6612518	-0.012119048	-0.091038704	1.0565505	0.008469141	0.0545	79.0	182.69499468803406
44	-3.9190085	0.9604124	-2.8150532	-6.286317	0.0	0	0	0	0	160.33333	-3.8036315	0.7953926	-2.8824573	-7.372557	90000	-6.556511e-09	1.6753571	-0.014753053	-0.3023399	1.0779614	0.010816282	0.124	79.0	184.93318700790405
45	-4.3433957	1.2196679	-2.515255	-6.52368	0.0	0	0	0	0	154.41667	-3.4277582	0.7348258	-2.4576316	-6.9660788	92000	-1.5497207e-08	1.7269297	-0.012187512	-0.048581004	1.0481396	0.0053666476	0.123	79.0	187.0669355392456
46	-4.3679004	1.0464973	-2.7281523	-6.4581127	0.0	0	0	0	0	155.41667	-3.6492715	0.7453807	-2.576573	-7.000676	94000	-7.1525574e-10	1.206416	-0.013290098	-0.035023093	1.0312546	0.012096179	0.0995	79.0	189.20918536186218
47	-3.4595819	0.4882748	-2.7382302	-4.312144	7.142857142857142	0	0	1	0	153.07692	-3.4667835	0.7398177	-2.6336277	-7.017816	96000	-9.059906e-09	1.100007	-0.0092906095	-0.55922484	1.0474092	0.009578887	0.099	79.0	191.49888849258423
48	-4.213367	0.7655124	-3.1021762	-6.030321	0.0	0	0	0	0	147.15384	-2.9484453	0.6911738	-2.1055272	-6.2727604	98000	5.9604646e-09	1.2269576	-0.00985932	-0.30602032	1.0448196	0.012872652	0.0735	79.0	193.734219789505
49	-4.0600057	0.56143886	-3.0753882	-5.0620956	7.142857142857142	0	0	1	0	152.76923	-3.3554585	0.71918154	-2.483652	-6.626981	100000	8.702278e-09	0.5517556	-0.012148593	-0.025899947	1.0353408	0.00916053	0.085	79.0	196.00267267227173
