Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-38.557438	6.4077196	-27.991295	-46.210854	100.0	14	4	15	2	139.42857	0.054016016	0.24592224	0.63252985	-0.6628807	2000	-8.094311e-08	1489.5378	-0.016991016	-293.2622	1.3186215	0.01526564	0.099	24.0	2.6002860069274902
1	-38.216553	11.478992	-23.45906	-59.175087	100.0	10	4	9	5	199.3	-3.7381167	2.7184346	-0.97770643	-11.169142	4000	4.0769578e-08	1209.4885	-0.021796968	-371.91943	1.3177371	0.015116952	0.1695	60.0	4.7490692138671875
2	-34.811214	5.7164893	-25.34991	-46.324852	100.0	13	6	10	1	152.15384	-8.972772	4.0389	-4.6984744	-23.403713	6000	1.835823e-08	711.56757	-0.020615404	-366.84592	1.2855506	0.014566995	0.122	79.0	6.970002174377441
3	-37.945526	8.7587185	-22.195076	-49.901608	100.0	12	4	11	4	163.63637	-20.190216	9.315396	-9.006105	-55.33749	8000	-2.2292138e-08	452.57297	-0.016024537	-185.68658	1.2717319	0.0153437285	0.135	38.0	9.108715057373047
4	-31.551361	6.271356	-23.030602	-43.995365	92.85714285714286	13	6	8	1	150.76923	-21.84952	7.7607336	-10.324422	-48.871983	10000	-5.662441e-09	169.89366	-0.020876156	-38.99861	1.3175565	0.0058252565	0.1295	79.0	11.475294589996338
5	-35.024685	10.441996	-15.043409	-55.47245	100.0	15	5	12	0	133.33333	-25.253445	6.257302	-17.322983	-46.593517	12000	1.5735626e-08	299.53104	-0.0137729505	-94.83902	1.2892247	0.008123195	0.0745	79.0	14.053579807281494
6	-30.29307	8.053266	-13.128074	-41.563534	100.0	13	7	12	3	135.07143	-28.751263	6.8044105	-12.00989	-52.070175	14000	-4.053116e-09	123.21588	-0.018067075	-16.99791	1.2969085	0.0103730755	0.1005	79.0	16.790472507476807
7	-28.803375	9.813163	-10.538991	-42.032627	93.33333333333333	13	5	11	2	139.5	-24.319462	3.5927303	-10.479628	-34.953735	16000	-1.1444092e-08	132.32954	-0.01815188	-10.325806	1.2824011	0.005758741	0.0825	79.0	19.43366265296936
8	-32.949665	7.1352067	-20.045626	-43.203857	100.0	15	4	15	0	120.13333	-28.217953	3.7221851	-18.576883	-42.08563	18000	0.0	86.24339	-0.015879044	-10.540085	1.2858745	0.015275908	0.1995	26.0	22.03738760948181
9	-34.163284	7.664007	-19.490211	-46.092808	93.33333333333333	12	5	14	1	137.35715	-30.1046	6.08754	-13.548618	-57.197865	20000	1.0251999e-08	70.245735	-0.017732361	-5.6693573	1.2463682	0.011669918	0.085	79.0	24.957695245742798
10	-25.85652	11.100039	-9.458377	-41.032192	100.0	14	3	12	1	141.42857	-30.527534	5.5876055	-16.30938	-58.6533	22000	2.2649765e-08	159.31932	-0.014991743	-38.622185	1.2725433	0.015000613	0.0895	70.0	28.26820945739746
11	-20.83321	9.49812	-9.494985	-40.163036	100.0	8	0	10	4	161.33333	-21.301023	6.6210732	-7.8627377	-33.960392	24000	-1.9073486e-08	85.78847	-0.019018073	-9.528717	1.2906501	0.015215783	0.1565	45.0	31.644298315048218
12	-28.886934	8.957742	-8.286522	-42.23859	93.75	14	4	13	1	129.86667	-21.140316	5.632692	-8.631465	-31.26896	26000	8.34465e-09	187.21506	-0.012881223	-39.416473	1.262501	0.015087435	0.19	26.0	35.16249465942383
13	-28.913004	9.34306	-12.119535	-41.108353	100.0	12	3	13	2	142.21428	-26.73477	7.6076183	-9.8019	-58.814186	28000	-9.953975e-09	111.180374	-0.020241534	-3.1016846	1.2397163	0.013975697	0.0905	79.0	38.527740478515625
14	-28.357342	9.527132	-6.9209213	-39.530205	100.0	11	2	14	1	139.14285	-24.433998	6.2783313	-8.09117	-34.276585	30000	2.9802323e-09	85.43678	-0.020617137	-12.191795	1.2705185	0.012532448	0.1525	79.0	42.17149472236633
15	-27.217302	6.877005	-15.665811	-36.214043	100.0	9	1	12	3	161.72728	-25.95665	6.580275	-9.183059	-40.42351	32000	5.3644182e-09	73.768456	-0.018664895	-7.4857025	1.2216618	0.00724169	0.12	79.0	45.53796124458313
